color_code, university
#c32d02, 愛知学院大学
#000099, 愛知教育大学
#00a94f, 愛知県立芸術大学
#2e4b9a, 愛知淑徳大学
#0e3c56, 愛知大学
#009898, 会津大学
#058642, 青森公立大学
#052c03, 青山学院大学
#005bac, 秋田県立大学
#01b051, 秋田大学
#669966, 旭川医科大学
#25b759, 亜細亜大学
#330f4c, 跡見学園女子大学
#005a1a, 茨城大学
#0138b2, 岩手県立大学
#007b43, 岩手大学
#6f2003, 宇都宮大学
#ff9008, 愛媛大学
#007dcf, 追手門学院大学
#993333, 桜美林大学
#0033cc, 大分大学
#2740af, 大阪医科大学
#a72c29, 大阪教育大学
#E8297c, 大阪経済大学
#064a97, 大阪芸術大学
#064583, 大阪工業大学
#9c0f14, 大阪産業大学
#5b91c2, 大阪歯科大学
#990033, 大阪市立大学
#018dd3, 大阪体育大学
#353d9d, 大阪大学
#00973c, 大阪電気通信大学
#0073bd, 大阪府立大学
#00a5dd, 大阪薬科大学
#6b496a, 大妻女子大学
#660099, 岡山県立大学
#0071c5, 岡山大学
#952428, 小樽商科大学
#8b2034, お茶の水女子大学
#aed8b2, 尾道市立大学
#225730, 帯広畜産大学
#316d23, 香川県立保健医療大学
#83ae50, 香川大学
#233B6C, 学習院大学
#00845a, 鹿児島大学
#004098, 神奈川大学
#00549c, 金沢工業大学
#3167a3, 金沢大学
#252068, 鹿屋体育大学
#393636, 関西医科大学
#3c3376, 関西外国語大学
#1D2088, 関西大学
#1a30b2, 関西学院大学
#0f228b, 神田外語大学
#014b00, 関東学院大学
#1b6cae, 北九州市立大学
#424088, 北里大学
#3db0f3, 北見工業大学
#f7931d, 岐阜大学
#d71345, 九州工業大学
#343399, 九州国際大学
#c6382c, 九州産業大学
#004516, 九州歯科大学
#7d0f40, 九州大学
#0046ae, 京都外国語大学
#802990, 京都教育大学
#b17a2d, 京都工芸繊維大学
#093383, 京都産業大学
#7065af, 京都女子大学
#0e035c, 京都大学
#5c3568, 京都橘大学
#00904a, 京都府立大学
#127026, 京都府立医科大学
#36418f, 京都薬科大学
#990134, 共立女子大学
#09a739, 杏林大学
#005882, 近畿大学
#ab0032, 金城学院大学
#5264a5, 釧路公立大学
#232020, 熊本県立大学
#352758, 熊本大学
#1b632d, 久留米大学
#0168b7, 群馬県立県民健康科学大学
#66007f, 群馬県立女子大学
#2f9d2c, 群馬大学
#f1c400, 慶應義塾大学
#26238d, 工学院大学
#4f3360, 皇學館大学
#990000, 高知県立大学
#1fa8e3, 高知大学
#ab1f36, 甲南大学
#00602c, 神戸学院大学
#3364ae, 神戸芸術工科大学
#82b800, 神戸市外国語大学
#2c2967, 神戸女学院大学
#c40000, 神戸大学
#9944bb, 神戸薬科大学
#cb0000, 公立はこだて未来大学
#ad2181, 國學院大學
#009e3b, 国際教養大学
#1c519a, 国際基督教大学
#c6373f, 国士舘大学
#533177, 駒澤大学
#ff9d22, 埼玉県立大学
#a0c855, 埼玉大学
#006599, 佐賀大学
#990000, 札幌医科大学
#f7a500, 札幌市立大学
#2042A4, 滋賀医科大学
#29a4f6, 滋賀県立大学
#0145ca, 滋賀大学
#8dc950, 静岡県立大学
#3f66b0, 静岡大学
#623763, 実践女子大学
#0f218b, 四天王寺大学
#007552, 芝浦工業大学
#000c67, 島根県立大学
#00559e, 島根大学
#104d71, 下関市立大学
#4f147e, 順天堂大学
#912355, 上越教育大学
#93191d, 上智大学
#3c3e5f, 昭和大学
#00744a, 信州大学
#007855, 椙山女学園大学
#66c2a4, 聖学院大学
#0d4689, 成蹊大学
#35318f, 政策研究大学院大学
#023461, 成城大学
#1e824e, 聖心女子大学
#000047, 清泉女子大学
#005d3c, 西南学院大学
#f39839, 摂南大学
#136324, 専修大学
#0c0ce9, 創価大学
#004898, 総合研究大学院大学
#4e415f, 大正大学
#5F8023, 大東文化大学
#006a00, 高崎経済大学
#ff5700, 拓殖大学
#223a70, 玉川大学
#004896, 多摩大学
#0047b8, 多摩美術大学
#363C70, 千葉工業大学
#008b4f, 千葉商科大学
#c8001f, 千葉大学
#9168ae, 中央学院大学
#0019ff, 中央大学
#B81c22, 中京大学
#005396, 中部大学
#6600cc, 筑波大学
#b30926, 津田塾大学
#343399, 都留文科大学
#2a4198, 帝京大学
#1A1AD4, 電気通信大学
#6a007b, 天理大学
#1a30b2, 東海大学
#9b334a, 東京医科大学
#e6aa6e, 東京医科歯科大学
#f751a7, 東京外国語大学
#047ec5, 東京海洋大学
#751a85, 東京学芸大学
#fcc601, 東京経済大学
#4059a7, 東京芸術大学
#3b408f, 東京工科大学
#005396, 東京工業大学
#001589, 東京慈恵会医科大学
#9e0e87, 東京女子医科大学
#CC0000, 東京女子大学
#4394d0, 東京大学
#004da0, 東京電機大学
#01a7ea, 東京都市大学
#4366b0, 東京都立大学
#286300, 東京農業大学
#0cad67, 東京農工大学
#6d2970, 東京薬科大学
#66002c, 東京理科大学
#800080, 同志社女子大学
#660066, 同志社大学
#53a4dd, 東邦大学
#0088e8, 東北学院大学
#3e1586, 東北大学
#760b44, 東北福祉大学
#0e6b00, 東北薬科大学
#76183a, 東洋英和女学院大学
#B7193a, 東洋学園大学
#17184b, 東洋大学
#019eb7, 徳島大学
#3a2885, 獨協大学
#319e2d, 公立鳥取環境大学
#00549c, 鳥取大学
#5d7f91, 富山大学
#0d0031, 豊田工業大学
#c7000a, 豊橋技術科学大学
#009fe8, 長岡技術科学大学
#17A5DB, 長崎県立大学
#1f5dab, 長崎大学
#c4181f, 名古屋学院大学
#00549c, 名古屋工業大学
#133669, 名古屋女子大学
#a70000, 名古屋市立大学
#006e4f, 名古屋大学
#00a0e3, 奈良教育大学
#3b2b87, 奈良県立医科大学
#2a5baa, 奈良県立大学
#993333, 奈良女子大学
#df1514, 奈良先端科学技術大学院大学
#343399, 奈良大学
#19b26b, 鳴門教育大学
#13007c, 南山大学
#669900, 新潟県立大学
#008555, 新潟大学
#00796f, 新見公立大学
#2cb3e3, 日本医科大学
#0036a1, 日本歯科大学
#5ea067, 日本社会事業大学
#410082, 日本獣医生命科学大学
#d6195a, 日本女子大学
#ea2100, 日本赤十字看護大学
#b30212, 日本大学
#286300, 二松學舍大学
#1f4575, 浜松医科大学
#00643d, 阪南大学
#b2334c, 一橋大学
#5f9b38, 兵庫医科大学
#007245, 兵庫教育大学
#1c1c82, 兵庫県立大学
#ac0807, 広島工業大学
#e76f8e, 広島国際大学
#009AD6, 広島修道大学
#003f8a, 広島市立大学
#199450, 広島大学
#00268B, 弘前大学
#ae102a, フェリス女学院大学
#18943b, 福井県立大学
#0b4092, 福井大学
#004700, 福岡教育大学
#b94047, 福岡女子大学
#86241b, 福岡大学
#018738, 福島県立医科大学
#004315, 福島大学
#336600, 藤田医科大学
#36328f, 佛教大学
#006c54, 文京学院大学
#2b2b93, 文教大学
#ff6b00, 法政大学
#333399, 北星学園大学
#391c86, 北陸先端科学技術大学院大学
#001d7d, 北海学園大学
#104fa0, 北海道教育大学
#23651c, 北海道大学
#119dcc, 松山大学
#14a83a, 三重大学
#60181d, 宮城学院女子大学
#008400, 宮城教育大学
#5b9a62, 宮城大学
#D52425, 宮崎公立大学
#01603a, 宮崎大学
#00a497, 武庫川女子大学
#00693e, 武蔵大学
#2a1b80, 武蔵野大学
#3d9638, 室蘭工業大学
#017561, 明海大学
#ffff00, 明治学院大学
#453288, 明治大学
#aa0000, 名城大学
#7d0019, 桃山学院大学
#03ae02, 山形県立保健医療大学
#005215, 山形大学
#ec0000, 山口県立大学
#009872, 山口大学
#003399, 山梨学院大学
#64208d, 山梨大学
#005c92, 横浜国立大学
#b94047, 横浜市立大学
#541b86, 立教大学
#208d3f, 立正大学
#aa0000, 立命館大学
#1f2f54, 琉球大学
#f50000, 龍谷大学
#018fd1, 流通科学大学
#005e4a, 麗澤大学
#034040, 和歌山県立医科大学
#f18b00, 和歌山大学
#950306, 早稲田大学
